iter	Logloss
0	0.6001235336
1	0.5357155114
2	0.4883964053
3	0.4565528104
4	0.4329141718
5	0.4167358229
6	0.4039094796
7	0.3953997148
8	0.3886266696
9	0.3811907732
10	0.3743780905
11	0.3691557054
12	0.3634770355
13	0.3592530179
14	0.3556336456
15	0.3518811439
16	0.3488096424
17	0.3459561036
18	0.3435635853
19	0.3424894819
20	0.3408528969
21	0.3394628347
22	0.3380142211
23	0.3368523916
24	0.3358325129
25	0.3347582858
26	0.3337487514
27	0.3318815005
28	0.3307342979
29	0.3302832042
30	0.3293818765
31	0.3287219843
32	0.3277454617
33	0.3270165831
34	0.3260634544
35	0.3256040091
36	0.3250688418
37	0.3246912383
38	0.3242198816
39	0.3238341841
40	0.3232515782
41	0.3229799457
42	0.3226685622
43	0.3221593189
44	0.321520818
45	0.3212008667
46	0.3208169454
47	0.3205656549
48	0.3202369319
49	0.3197584062
50	0.3191489193
51	0.318447782
52	0.3181091509
53	0.3177336712
54	0.3173920288
55	0.3169547161
56	0.3166156241
57	0.3163357927
58	0.3158941183
59	0.3154885664
60	0.3152203666
61	0.3148660579
62	0.314415944
63	0.3140288228
64	0.313684657
65	0.3133005575
66	0.3128799595
67	0.3124725603
68	0.3119956496
69	0.3115349946
70	0.3109387231
71	0.3105490562
72	0.3102388355
73	0.3096563261
74	0.3091890469
75	0.308876137
76	0.3083931357
77	0.3080402876
78	0.3077660188
79	0.3072567454
80	0.3065985539
81	0.3053822304
82	0.3050176354
83	0.3046051075
84	0.3041641383
85	0.3037296674
86	0.3028467494
87	0.3022780232
88	0.3017648145
89	0.3013116549
90	0.3008587539
91	0.3005045181
92	0.3001385257
93	0.2996271187
94	0.2992163971
95	0.2989388646
96	0.2985018256
97	0.2980458349
98	0.2977052544
99	0.2974032905
