iter	Passed	Remaining
0	136	13490
1	146	7192
2	154	4993
3	162	3907
4	169	3225
5	177	2777
6	184	2446
7	191	2199
8	197	2000
9	204	1838
10	212	1716
11	218	1605
12	226	1514
13	233	1431
14	239	1358
15	246	1294
16	253	1237
17	260	1184
18	266	1135
19	273	1093
20	280	1054
21	287	1017
22	293	983
23	300	952
24	307	923
25	314	895
26	321	869
27	328	844
28	336	823
29	343	801
30	350	780
31	357	759
32	364	740
33	371	721
34	377	701
35	384	684
36	391	667
37	399	652
38	406	635
39	413	620
40	420	604
41	426	589
42	433	575
43	440	560
44	447	546
45	454	533
46	461	519
47	467	506
48	475	494
49	481	481
50	488	469
51	495	457
52	501	444
53	508	433
54	514	421
55	521	409
56	530	400
57	541	391
58	548	381
59	558	372
60	569	364
61	577	354
62	586	344
63	596	335
64	603	325
65	611	315
66	618	304
67	626	294
68	633	284
69	640	274
70	647	264
71	654	254
72	661	244
73	670	235
74	680	226
75	687	217
76	695	207
77	702	198
78	709	188
79	716	179
80	722	169
81	732	160
82	738	151
83	745	142
84	752	132
85	759	123
86	766	114
87	772	105
88	780	96
89	787	87
90	794	78
91	801	69
92	808	60
93	815	52
94	822	43
95	833	34
96	840	25
97	847	17
98	854	8
99	861	0
