iter	Passed	Remaining
0	7	1549
1	15	1523
2	21	1422
3	29	1439
4	36	1423
5	42	1386
6	49	1371
7	56	1353
8	64	1361
9	70	1341
10	78	1355
11	86	1360
12	94	1363
13	100	1331
14	106	1315
15	115	1325
16	122	1314
17	129	1311
18	136	1296
19	144	1304
20	150	1287
21	157	1275
22	164	1267
23	171	1256
24	178	1252
25	184	1237
26	192	1236
27	198	1222
28	205	1212
29	214	1213
30	220	1200
31	227	1195
32	233	1183
33	241	1181
34	248	1171
35	256	1167
36	262	1156
37	269	1146
38	276	1139
39	282	1129
40	290	1126
41	296	1116
42	304	1111
43	310	1102
44	317	1093
45	326	1093
46	333	1084
47	340	1078
48	347	1069
49	354	1064
50	361	1055
51	367	1046
52	374	1039
53	381	1032
54	389	1025
55	395	1017
56	404	1014
57	413	1012
58	423	1012
59	430	1004
60	438	998
61	444	988
62	452	983
63	458	973
64	464	964
65	471	957
66	477	948
67	485	942
68	491	934
69	499	927
70	505	918
71	511	910
72	520	905
73	527	897
74	534	891
75	541	883
76	549	877
77	555	869
78	562	860
79	570	855
80	576	846
81	583	839
82	589	831
83	597	824
84	604	817
85	610	809
86	618	802
87	624	794
88	632	788
89	639	781
90	647	775
91	653	767
92	660	760
93	667	752
94	673	744
95	680	737
96	687	729
97	695	723
98	701	715
99	707	707
100	714	700
101	721	692
102	729	686
103	736	679
104	743	672
105	749	664
106	756	657
107	763	650
108	769	642
109	777	636
110	783	628
111	790	620
112	796	613
113	802	605
114	810	598
115	816	591
116	824	585
117	831	578
118	837	570
119	846	564
120	852	556
121	859	549
122	866	542
123	873	535
124	880	528
125	887	520
126	893	513
127	900	506
128	907	499
129	914	492
130	922	485
131	929	478
132	937	472
133	944	465
134	951	457
135	958	450
136	964	443
137	973	437
138	979	430
139	987	423
140	993	415
141	1000	408
142	1006	401
143	1013	394
144	1020	387
145	1026	379
146	1033	372
147	1040	365
148	1046	358
149	1055	351
150	1061	344
151	1069	337
152	1076	330
153	1083	323
154	1089	316
155	1096	309
156	1102	302
157	1109	294
158	1118	288
159	1124	281
160	1132	274
161	1139	267
162	1145	259
163	1154	253
164	1160	246
165	1167	239
166	1173	231
167	1181	225
168	1187	217
169	1194	210
170	1201	203
171	1207	196
172	1215	189
173	1221	182
174	1228	175
175	1236	168
176	1242	161
177	1251	154
178	1257	147
179	1264	140
180	1270	133
181	1278	126
182	1284	119
183	1291	112
184	1298	105
185	1304	98
186	1312	91
187	1318	84
188	1325	77
189	1332	70
190	1338	63
191	1345	56
192	1352	49
193	1360	42
194	1367	35
195	1373	28
196	1384	21
197	1392	14
198	1399	7
199	1405	0
